,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Makakilo City,US,86.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
5,Matamoros,MX,93.31,broken clouds,25.5333,-103.25,Quinta Belem
6,Pandan,PH,83.71,overcast clouds,14.0453,124.1694,Bonifacio Lodge
7,Atuona,PF,76.78,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
11,San Patricio,US,90.54,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
12,Fort Saint James,CA,85.84,few clouds,54.4333,-124.25,The View Hotel
14,Saint George,US,94.24,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Porto Santo,PT,70.18,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
17,High Level,CA,87.91,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
18,Nikolskoye,RU,64.29,clear sky,59.7035,30.7861,Tourist House - Sablino
19,Nemuro,JP,65.61,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
21,Touros,BR,75.61,few clouds,-5.1989,-35.4608,INN NEW HORIZON
22,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
23,Subate,LV,61.14,broken clouds,56.0062,25.9076,усадьба Казимирвалес | Kazimirvāles muiža
25,Rikitea,PF,72.55,broken clouds,-23.1203,-134.9692,People ThankYou
31,Linxia,CN,64.29,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
32,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
33,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
34,Sitka,US,64.29,scattered clouds,57.0531,-135.33,Westmark Sitka
35,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
36,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
37,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
40,Dodge City,US,87.24,clear sky,37.7528,-100.0171,Windsor Inn & Suites
42,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
45,Manavalakurichi,IN,77.31,overcast clouds,8.1333,77.3,Jebinrio home
46,Pasaje,EC,73.11,broken clouds,-3.3333,-79.8167,Finca Huaylala
47,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
49,Nouadhibou,MR,73.38,broken clouds,20.931,-17.0347,El Medina
51,Jamestown,US,80.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
52,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
