,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nuuk,GL,64.1835,-51.7216,45.21,76,75,13.8,broken clouds
1,Dzhebariki-Khaya,RU,62.2167,135.8,53.13,94,95,5.59,overcast clouds
2,Makakilo City,US,21.3469,-158.0858,86.32,48,40,18.41,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,37.51,75,20,11.5,few clouds
4,Port Elizabeth,ZA,-33.918,25.5701,58.1,78,75,28.77,light intensity shower rain
5,Matamoros,MX,25.5333,-103.25,93.31,31,75,8.05,broken clouds
6,Pandan,PH,14.0453,124.1694,83.71,72,94,2.71,overcast clouds
7,Atuona,PF,-9.8,-139.0333,76.78,70,15,16.53,few clouds
8,Bluff,NZ,-46.6,168.3333,50.81,67,68,6.87,broken clouds
9,Deputatskiy,RU,69.3,139.9,59.02,65,100,5.93,overcast clouds
10,Khatanga,RU,71.9667,102.5,44.28,60,100,4.74,overcast clouds
11,San Patricio,US,28.017,-97.5169,90.54,63,97,14.29,overcast clouds
12,Fort Saint James,CA,54.4333,-124.25,85.84,34,11,2.71,few clouds
13,Te Anau,NZ,-45.4167,167.7167,53.85,63,57,2.86,broken clouds
14,Saint George,US,37.1041,-113.5841,94.24,33,20,24.16,few clouds
15,Porto Santo,PT,33.072,-16.3415,70.18,68,75,9.22,broken clouds
16,Busselton,AU,-33.65,115.3333,56.7,72,94,3.38,overcast clouds
17,High Level,CA,58.5169,-117.136,87.91,35,75,6.91,broken clouds
18,Nikolskoye,RU,59.7035,30.7861,64.29,78,8,5.57,clear sky
19,Nemuro,JP,43.3236,145.575,65.61,90,95,13.24,overcast clouds
20,Olafsvik,IS,64.8945,-23.7142,48.0,85,100,29.42,overcast clouds
21,Touros,BR,-5.1989,-35.4608,75.61,76,15,18.61,few clouds
22,Hasaki,JP,35.7333,140.8333,81.28,81,100,7.96,overcast clouds
23,Subate,LV,56.0062,25.9076,61.14,84,82,5.53,broken clouds
24,Constitucion,CL,-35.3333,-72.4167,52.61,88,91,9.17,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,72.55,73,57,3.51,broken clouds
26,Qaanaaq,GL,77.484,-69.3632,35.22,74,66,2.62,broken clouds
27,Barrow,US,71.2906,-156.7887,37.42,93,100,6.91,overcast clouds
28,Ushuaia,AR,-54.8,-68.3,35.26,93,100,25.32,light rain
29,Port Lincoln,AU,-34.7333,135.8667,57.11,76,46,7.38,scattered clouds
30,Gorin,RU,51.1983,136.6669,55.58,95,100,7.29,overcast clouds
31,Linxia,CN,35.6003,103.2064,64.29,76,77,1.41,broken clouds
32,Conde,BR,-7.2597,-34.9075,72.86,83,0,11.5,clear sky
33,Kuching,MY,1.55,110.3333,77.22,94,20,2.3,few clouds
34,Sitka,US,57.0531,-135.33,64.29,72,40,5.75,scattered clouds
35,Vaini,TO,-21.2,-175.2,75.36,78,20,11.5,few clouds
36,Camacha,PT,33.0833,-16.3333,67.42,68,75,9.22,broken clouds
37,Alofi,NU,-19.0595,-169.9187,75.09,78,13,16.11,few clouds
38,Hermanus,ZA,-34.4187,19.2345,52.81,72,84,26.26,light rain
39,Tazovskiy,RU,67.4667,78.7,44.78,83,94,21.99,overcast clouds
40,Dodge City,US,37.7528,-100.0171,87.24,44,0,16.11,clear sky
