City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vila Franca Do Campo,PT,2022-08-15 23:39:57,37.7167,-25.4333,71.2,82,66,10.0
1,Roma,US,2022-08-15 23:39:58,43.2128,-75.4557,77.14,66,20,5.75
2,Balkanabat,TM,2022-08-15 23:39:58,39.5108,54.3671,87.8,16,0,6.89
3,Tuatapere,NZ,2022-08-15 23:39:59,-46.1333,167.6833,56.88,71,89,4.12
4,Rikitea,PF,2022-08-15 23:39:59,-23.1203,-134.9692,73.36,76,1,14.54
5,Avarua,CK,2022-08-15 23:40:00,-21.2078,-159.775,73.45,53,96,10.36
6,Clyde River,CA,2022-08-15 23:40:00,70.4692,-68.5914,41.23,93,100,13.8
7,Carnarvon,AU,2022-08-15 23:40:01,-24.8667,113.6333,69.51,83,87,16.37
8,Along,IN,2022-08-15 23:40:01,28.1667,94.7667,74.97,99,95,0.76
9,Mataura,NZ,2022-08-15 23:40:01,-46.1927,168.8643,50.49,63,76,3.33
10,Salalah,OM,2022-08-15 23:40:02,17.0151,54.0924,75.29,94,100,6.91
11,Khatanga,RU,2022-08-15 23:40:03,71.9667,102.5,57.87,51,8,13.04
12,Camacha,PT,2022-08-15 23:40:03,33.0833,-16.3333,71.02,88,40,12.66
13,Vardo,NO,2022-08-15 23:40:03,70.3705,31.1107,55.38,82,100,8.05
14,Port Blair,IN,2022-08-15 23:40:04,11.6667,92.75,77.04,94,75,2.3
15,Severo-Kurilsk,RU,2022-08-15 23:40:04,50.6789,156.125,55.85,90,60,15.77
16,Hobart,AU,2022-08-15 23:35:24,-42.8794,147.3294,52.27,92,75,6.91
17,Nanortalik,GL,2022-08-15 23:40:05,60.1432,-45.2371,46.76,90,100,4.63
18,Rio Grande,BR,2022-08-15 23:40:06,-32.035,-52.0986,62.71,98,100,6.02
19,Laguna,US,2022-08-15 23:40:06,38.421,-121.4238,106.14,15,0,5.75
20,Kavieng,PG,2022-08-15 23:40:06,-2.5744,150.7967,82.8,70,99,6.29
21,Palora,EC,2022-08-15 23:40:07,-1.7,-77.9333,73.51,97,62,2.8
22,Georgiyevskoye,RU,2022-08-15 23:40:08,58.731,45.024,57.97,82,5,1.59
23,Flin Flon,CA,2022-08-15 23:40:08,54.7682,-101.865,75.04,57,75,5.75
24,Castro,BR,2022-08-15 23:38:07,-24.7911,-50.0119,60.21,68,0,5.59
25,Albany,US,2022-08-15 23:37:09,42.6001,-73.9662,81.25,55,66,1.9
